model_id,source,input_spec,license,notes
parakeet-tdt_ctc-0.6b-ja__parakeet_tdt_ctc_0.6b_ja_5s_f32_stateful,https://huggingface.co/litert-community/parakeet-tdt_ctc-0.6b-ja/resolve/main/parakeet_tdt_ctc_0.6b_ja_5s_f32_stateful.tflite,1x80x500:float32,cc-by-4.0,multi-signature model (123 subgraphs); harness runs subgraph 0 (encode); 2.4 GB
zipformer-medium-cr-ctc__zipformer_ctc_fp16,https://huggingface.co/litert-community/Zipformer-medium-CR-CTC-LiteRT/resolve/main/zipformer_ctc_fp16.tflite,1x1600x80:float32;1x796:float32;1x398:float32;1x199:float32;1x100:float32,apache-2.0,
zipformer-medium-cr-ctc__zipformer_ctc_small_fp16,https://huggingface.co/litert-community/Zipformer-medium-CR-CTC-LiteRT/resolve/main/zipformer_ctc_small_fp16.tflite,1x1600x80:float32;1x796:float32;1x398:float32;1x199:float32;1x100:float32,apache-2.0,
zipformer-medium-cr-ctc__zipformer_ctc_large_fp16,https://huggingface.co/litert-community/Zipformer-medium-CR-CTC-LiteRT/resolve/main/zipformer_ctc_large_fp16.tflite,1x1600x80:float32;1x796:float32;1x398:float32;1x199:float32;1x100:float32,apache-2.0,
japanese-zipformer-base,https://huggingface.co/litert-community/japanese-zipformer-base-LiteRT/resolve/main/ja_zipformer_ctc_fp16.tflite,1x256000:float32;1x799:float32;1x400:float32;1x200:float32;1x100:float32,apache-2.0,
wav2vec2-base-960h__w2v2_asr_frontend_fp16,https://huggingface.co/litert-community/wav2vec2-base-960h-LiteRT/resolve/main/w2v2_asr_frontend_fp16.tflite,1x256000:float32,apache-2.0,
wav2vec2-base-960h__w2v2_asr_head_fp16,https://huggingface.co/litert-community/wav2vec2-base-960h-LiteRT/resolve/main/w2v2_asr_head_fp16.tflite,1x799x768:float32,apache-2.0,
tipsv2-b14-dpt,https://huggingface.co/litert-community/TIPSv2-B14-DPT-LiteRT/resolve/main/tipsv2_b14_dpt_fp16.tflite,1x3x448x448:float32,apache-2.0,
rf-detr-seg-nano__rfdetrseg_grapha_fp16,https://huggingface.co/litert-community/RF-DETR-Seg-Nano-LiteRT/resolve/main/rfdetrseg_graphA_fp16.tflite,1x3x312x312:float32;1x1x384:float32;1x676x384:float32,apache-2.0,
rf-detr-seg-nano__rfdetrseg_graphb_fp16,https://huggingface.co/litert-community/RF-DETR-Seg-Nano-LiteRT/resolve/main/rfdetrseg_graphB_fp16.tflite,1x676x256:float32;1x100x4:float32;1x100x256:float32,apache-2.0,
sam2.1-hiera-tiny-image-encoder__sam2_tiny_image_encoder_fp16,https://huggingface.co/litert-community/SAM2.1-Hiera-Tiny-Image-Encoder/resolve/main/sam2_tiny_image_encoder_fp16.tflite,1x3x1024x1024:float32,apache-2.0,
sam2.1-hiera-tiny-image-encoder__sam2_tiny_image_encoder_v2_fp16,https://huggingface.co/litert-community/SAM2.1-Hiera-Tiny-Image-Encoder/resolve/main/sam2_tiny_image_encoder_v2_fp16.tflite,1x3x1024x1024:float32,apache-2.0,
kitten-tts-nano-0.8__kitten_vocoder_static80,https://huggingface.co/litert-community/kitten-tts-nano-0.8/resolve/main/kitten_vocoder_static80.tflite,1x80x128:float32;1x160:float32;1x160:float32;1x9601x22:float32;1x256:float32,apache-2.0,
inflect-nano-v2__inflect_decoder_static228,https://huggingface.co/litert-community/Inflect-Nano-v2/resolve/main/inflect_decoder_static228.tflite,1x228x128:float32,apache-2.0,
yolox-nano,https://huggingface.co/litert-community/yolox-nano-litert/resolve/main/yolox_nano.tflite,1x416x416x3:float32,apache-2.0,
yolox-m,https://huggingface.co/litert-community/yolox-m-litert/resolve/main/yolox_m.tflite,1x640x640x3:float32,apache-2.0,
midas-small,https://huggingface.co/litert-community/MiDaS-small/resolve/main/midas_small_256_fp16.tflite,1x256x256x3:float32,mit,
real-esrgan-x4v3,https://huggingface.co/litert-community/real-esrgan-x4v3-litert/resolve/main/realesr_general_x4v3.tflite,1x128x128x3:float32,bsd-3-clause,
u-2-net,https://huggingface.co/litert-community/U-2-Net/resolve/main/u2net_fp16.tflite,1x3x320x320:float32,apache-2.0,
yolox-tiny,https://huggingface.co/litert-community/yolox-tiny-litert/resolve/main/yolox_tiny.tflite,1x416x416x3:float32,apache-2.0,
lightweight-openpose__pose_256,https://huggingface.co/litert-community/lightweight-openpose/resolve/main/pose_256.tflite,1x256x256x3:float32,apache-2.0,
lightweight-openpose__pose_256_fp16,https://huggingface.co/litert-community/lightweight-openpose/resolve/main/pose_256_fp16.tflite,1x256x256x3:float32,apache-2.0,
yolox-s,https://huggingface.co/litert-community/yolox-s-litert/resolve/main/yolox_s.tflite,1x640x640x3:float32,apache-2.0,
z-image-turbo__z_embx,https://huggingface.co/litert-community/Z-Image-Turbo-LiteRT/resolve/main/z_embx.tflite,1x256x64:float32,apache-2.0,
z-image-turbo__zc_final,https://huggingface.co/litert-community/Z-Image-Turbo-LiteRT/resolve/main/zc_final.tflite,1x288x3840:float32;1x256:float32,apache-2.0,
z-image-turbo__z_embc,https://huggingface.co/litert-community/Z-Image-Turbo-LiteRT/resolve/main/z_embc.tflite,1x32x2560:float32,apache-2.0,
z-image-turbo__zvae,https://huggingface.co/litert-community/Z-Image-Turbo-LiteRT/resolve/main/zvae.tflite,1x16x32x32:float32,apache-2.0,
z-image-turbo__z_refc,https://huggingface.co/litert-community/Z-Image-Turbo-LiteRT/resolve/main/z_refc.tflite,1x32x3840:float32;1x1x32x64:float32;1x1x32x64:float32,apache-2.0,
z-image-turbo__z_refx,https://huggingface.co/litert-community/Z-Image-Turbo-LiteRT/resolve/main/z_refx.tflite,1x256x3840:float32;1x1x256x64:float32;1x1x256x64:float32;1x256:float32,apache-2.0,
flux.2-klein-4b__kc_final,https://huggingface.co/litert-community/FLUX.2-klein-4B-LiteRT/resolve/main/kc_final.tflite,1x768x3072:float32;1x3072:float32,apache-2.0,
flux.2-klein-4b__kce_final,https://huggingface.co/litert-community/FLUX.2-klein-4B-LiteRT/resolve/main/kce_final.tflite,1x1024x3072:float32;1x3072:float32,apache-2.0,
flux.2-klein-4b__kv_vae_enc,https://huggingface.co/litert-community/FLUX.2-klein-4B-LiteRT/resolve/main/kv_vae_enc.tflite,1x3x256x256:float32,apache-2.0,
flux.2-klein-4b__kv_vae,https://huggingface.co/litert-community/FLUX.2-klein-4B-LiteRT/resolve/main/kv_vae.tflite,1x32x32x32:float32,apache-2.0,
flux.2-klein-4b__kc_prep,https://huggingface.co/litert-community/FLUX.2-klein-4B-LiteRT/resolve/main/kc_prep.tflite,1x256x128:float32;1x512x7680:float32;1x3072:float32,apache-2.0,
flux.2-klein-4b__kce_prep,https://huggingface.co/litert-community/FLUX.2-klein-4B-LiteRT/resolve/main/kce_prep.tflite,1x512x128:float32;1x512x7680:float32;1x3072:float32,apache-2.0,
flux.2-klein-4b__kc_double1,https://huggingface.co/litert-community/FLUX.2-klein-4B-LiteRT/resolve/main/kc_double1.tflite,1x256x3072:float32;1x512x3072:float32;1x768x1x64:float32;1x768x1x64:float32;1x1x18432:float32;1x1x18432:float32,apache-2.0,
flux.2-klein-4b__kce_double1,https://huggingface.co/litert-community/FLUX.2-klein-4B-LiteRT/resolve/main/kce_double1.tflite,1x512x3072:float32;1x512x3072:float32;1x1024x1x64:float32;1x1024x1x64:float32;1x1x18432:float32;1x1x18432:float32,apache-2.0,
bonsai-image-ternary-4b__vae_dec_fp32,https://huggingface.co/litert-community/Bonsai-Image-ternary-4B/resolve/main/vae_dec_fp32.tflite,1x32x64x64:float32,apache-2.0,

nemotron-3-embed-1b__wi8fc,https://huggingface.co/litert-community/Nemotron-3-Embed-1B/resolve/main/Nemotron-3-Embed-1B_wi8fc.tflite,1x512:int32;1x512:int32,openmdw-1.1,multi-signature (embed_64/128/256/512); spec is the default signature embed_512
nemotron-3-embed-1b__wi8fc-128-512,https://huggingface.co/litert-community/Nemotron-3-Embed-1B/resolve/main/Nemotron-3-Embed-1B_wi8fc_128_512.tflite,1x512:int32;1x512:int32,openmdw-1.1,multi-signature (embed_128/512); spec is the default signature embed_512
granite-speech-5.0-470m-turboctc__granite_speech_ctc_fp16,https://huggingface.co/litert-community/granite-speech-5.0-470m-turboctc/resolve/main/granite_speech_ctc_fp16.tflite,1x250x320:float32,apache-2.0,multi-signature model (3 subgraphs); harness runs subgraph 0
granite-speech-5.0-470m-turboctc__granite_speech_ctc_wi8fc,https://huggingface.co/litert-community/granite-speech-5.0-470m-turboctc/resolve/main/granite_speech_ctc_wi8fc.tflite,1x250x320:float32,apache-2.0,multi-signature model (3 subgraphs); harness runs subgraph 0
mxbai-edge-colbert-v0-32m__mxbai-edge-colbert-v0-32m_fp16,https://huggingface.co/litert-community/mxbai-edge-colbert-v0-32m/resolve/main/mxbai-edge-colbert-v0-32m_fp16.tflite,1x512:int32;1x512:int32,apache-2.0,multi-signature model (4 subgraphs); harness runs subgraph 0
mxbai-edge-colbert-v0-32m__mxbai-edge-colbert-v0-32m_wi8fc,https://huggingface.co/litert-community/mxbai-edge-colbert-v0-32m/resolve/main/mxbai-edge-colbert-v0-32m_wi8fc.tflite,1x512:int32;1x512:int32,apache-2.0,multi-signature model (4 subgraphs); harness runs subgraph 0
ettin-reranker-400m-v1__ettin-reranker-400m-v1_fp16,https://huggingface.co/litert-community/ettin-reranker-400m-v1/resolve/main/ettin-reranker-400m-v1_fp16.tflite,1x512:int32;1x512:int32,apache-2.0,multi-signature model (3 subgraphs); harness runs subgraph 0
ettin-reranker-400m-v1__ettin-reranker-400m-v1_wi8fc,https://huggingface.co/litert-community/ettin-reranker-400m-v1/resolve/main/ettin-reranker-400m-v1_wi8fc.tflite,1x512:int32;1x512:int32,apache-2.0,multi-signature model (3 subgraphs); harness runs subgraph 0
moge-2__moge_fp16,https://huggingface.co/litert-community/MoGe-2-LiteRT/resolve/main/moge_fp16.tflite,1x3x448x448:float32,mit,
tipsv2-b14-dpt__tipsv2_b14_dpt_erf_fp16,https://huggingface.co/litert-community/TIPSv2-B14-DPT-LiteRT/resolve/main/tipsv2_b14_dpt_erf_fp16.tflite,1x3x448x448:float32,apache-2.0,
pp-ocrv5__ppocr_rec_fp32,https://huggingface.co/litert-community/PP-OCRv5-LiteRT/resolve/main/ppocr_rec_fp32.tflite,1x3x48x320:float32,apache-2.0,
dinov2-vit-s14__dinov2_s_erf_fp16,https://huggingface.co/litert-community/DINOv2-ViT-S14-LiteRT/resolve/main/dinov2_s_erf_fp16.tflite,1x3x448x448:float32,apache-2.0,
mlateon__mlateon_fp16,https://huggingface.co/litert-community/mLateOn/resolve/main/mLateOn_fp16.tflite,1x512:int32;1x512:int32,apache-2.0,multi-signature model (4 subgraphs); harness runs subgraph 0
mlateon__mlateon_wi8fc,https://huggingface.co/litert-community/mLateOn/resolve/main/mLateOn_wi8fc.tflite,1x512:int32;1x512:int32,apache-2.0,multi-signature model (4 subgraphs); harness runs subgraph 0
voyage-4-nano__voyage-4-nano_fp16,https://huggingface.co/litert-community/voyage-4-nano/resolve/main/voyage-4-nano_fp16.tflite,1x512:int32;1x512:int32,apache-2.0,multi-signature model (4 subgraphs); harness runs subgraph 0
voyage-4-nano__voyage-4-nano_wi8fc,https://huggingface.co/litert-community/voyage-4-nano/resolve/main/voyage-4-nano_wi8fc.tflite,1x512:int32;1x512:int32,apache-2.0,multi-signature model (4 subgraphs); harness runs subgraph 0
harrier-oss-v1-0.6b__harrier-oss-v1-0.6b_fp16,https://huggingface.co/litert-community/harrier-oss-v1-0.6b/resolve/main/harrier-oss-v1-0.6b_fp16.tflite,1x512:int32;1x512:int32,mit,multi-signature model (4 subgraphs); harness runs subgraph 0
harrier-oss-v1-0.6b__harrier-oss-v1-0.6b_wi8fc,https://huggingface.co/litert-community/harrier-oss-v1-0.6b/resolve/main/harrier-oss-v1-0.6b_wi8fc.tflite,1x512:int32;1x512:int32,mit,multi-signature model (4 subgraphs); harness runs subgraph 0
# Excluded, dynamic input dim (LiteRT.js needs a static signature): NIMA-LiteRT
# (nima_aesthetic_fp16 / nima_technical_fp16). Both load on wasm_xnnpack and
# webgpu_mldrift, then fail the run with 'TensorBuffer ranked tensor type
# Float32[1, 224, 224, 3] does not match expected ranked tensor type
# Float32[-1, 224, 224, 3]' — the published graphs carry a dynamic batch axis
# (measured 2026-08-24). Re-export with a fixed batch to make them sweepable.

# Catalog scope: OUR OWN conversions inside litert-community. The org also holds ~140
# .tflite models uploaded by others (the torchvision/timm classification zoo, Whisper
# variants, LLM .tflite splits); they are deliberately out of scope, not missed.

# litertlm (LLM lane - cards/matrix only, not browser-sweepable): LiteRT.js cannot run
# .litertlm bundles, so these 80 org models never enter the sweep. Their data arrives
# through the cards lane (devicemark / bench tokens_per_s) and the matrix lane (gpu_audit).
# DeepSeek-R1-Distill-Qwen-7B, Falcon-H1-0.5B-Instruct, Falcon-H1-1.5B-Deep-Instruct, Falcon-H1-1.5B-Instruct, Falcon-H1-3B-Instruct, FastContext-1.0-4B-SFT
# FastVLM-0.5B, Gemma3-1B-IT, InternVL3-1B, InternVL3-2B, InternVL3_5-1B, InternVL3_5-2B
# InternVL3_5-4B, Jan-nano, LFM2.5-1.2B-Instruct, LFM2.5-1.2B-JP, LFM2.5-1.2B-Thinking, LFM2.5-2.6B
# LFM2.5-VL-1.6B, LFM2.5-VL-3B, LFM2.5-VL-450M, LLaVA-OneVision-0.5B, Llama-3.2-1B, Llama-3.2-3B
# Mage-VL, MedGemma-1.5-4B-IT, MiniCPM-V-4, MiniCPM5-1B, Ministral-3-3B-Instruct-2512, Ministral-3-3B-Reasoning-2512
# Nanbeige4.1-3B, Nanbeige4.2-3B, Nemotron-H-4B-Instruct-128K, North-Micro-Vision-Instruct, OLMo-2-1B-Instruct, Ovis2.5-2B
# PaddleOCR-VL-1.6, Phi-4-mini-reasoning, Polaris-4B-Preview, Qwen2-0.5B-Instruct, Qwen2-1.5B-Instruct, Qwen2-VL-2B
# Qwen2.5-Coder-1.5B-Instruct, Qwen2.5-Coder-3B-Instruct, Qwen3-0.6B, Qwen3-0.6B-int4, Qwen3-1.7B, Qwen3-14B
# Qwen3-4B, Qwen3-4B-Instruct-2507, Qwen3-4B-Thinking-2507, Qwen3-8B, Qwen3.5-0.8B, Qwen3.5-2B
# Qwen3.5-4B, Shieldstral-1.0-3B, SmolLM2-135M-Instruct, SmolLM2-360M-Instruct, SmolLM3-3B, SmolVLM2-2.2B
# SmolVLM2-500M, TinySwallow-1.5B-Instruct, VibeThinker-1.5B, VibeThinker-3B, Zamba2-1.2B-instruct, Zamba2-2.7B-instruct
# codegemma-7b-it-int4-litertlm, functiongemma-270m-ft-mobile-actions, functiongemma-270m-ft-tiny-garden, functiongemma-mobile-actions_q8_ekv1024.litertlm, gemma-3-270m-it, gemma-4-12B-it-litert-lm
# gemma-4-26B-A4B-it-litert-lm, gemma-4-31B-it-litert-lm, gemma-4-E2B-it-litert-lm, gemma-4-E4B-it-litert-lm, granite-4.0-350m-litert-lm, granite-4.0-h-1b
# granite-4.0-h-350m, granite-4.1-3b, granite-docling-258M
# excluded 2026-08-28: nemotron-3-embed-1b__fp16 (2.29 GB) — in-page fetch of a >2 GiB artifact fails in Chromium (TypeError: Failed to fetch; sweep 2.5.3/2026-08-28 after the node-side cache was fixed to stream). Not browser-sweepable at this size; the wi8fc siblings carry the family.

# Added 2026-09-02 (own conversions shipped 2026-08-31..09-02; input_spec parsed with litert_compat.parser.reader from the
# sha-verified download): granite-speech-5.0-470m-turboctc (CTC speech encoder, 1x250x320 fbank window), mxbai-edge-colbert-v0-32m,
# ettin-reranker-400m-v1, plus new siblings moge_fp16, tipsv2_b14_dpt_erf_fp16, ppocr_rec_fp32, dinov2_s_erf_fp16.
# voyage-4-nano + mLateOn rows added the same day once their sha-verified downloads landed; harrier-oss-v1-0.6b (fp16 + wi8fc) added 2026-09-08 (sha-verified download, MIT).
# Excluded, dynamic input dim (LiteRT.js needs a static signature), measured 2026-09-02 with the repo parser:
#   kitten-tts-nano-0.8: kitten_predictor(_fp16) input_ids (1,-1); kitten_prosody(_fp16) en (1,-1,256); kitten_vocoder(_fp16) asr/f0/n/har (1,-1,*)
#     — only kitten_vocoder_static80 is static, and it is already a row above.
#   Inflect-Nano-v2: inflect_decoder(_fp16) z_p (1,-1,128); inflect_text_encoder(_fp16) tokens (1,-1) — the static228 decoder is the row above.
# Excluded, non-float32/int32 input (LiteRT.js tensor I/O): Kokoro-82M/kokoro_predictor.tflite (args_0 1x128 int64) and
#   Kokoro-82M/kokoro_82m_fixedlen_fp32.tflite (args_0 1x57 int64) — both parsed 2026-09-02 from sha-verified downloads.
# Deferred (2026-09-02, owner: 推奨で): multi-GB image-generation graph chunks stay out of the browser sweep for now — the
#   in-page fetch of a >2 GiB artifact already fails in Chromium (nemotron fp16 precedent above) and the sub-GB chunks are
#   pieces of a pipeline whose real inputs are latents; revisit if a browser demo of these pipelines lands:
#   Z-Image-Turbo-LiteRT qwen_enc (3.5 GB), zc_main0..5 (0.9 GB each); FLUX.2-klein-4B-LiteRT kc_double0, kc_single0..3, kce_double0,
#   kce_single0..3, ke_enc0..2 (0.6-0.9 GB each); Bonsai-Image-ternary-4B dit_gpu_int4b32, dit_int4b32, textenc_int4, textenc_int8_weightonly (1.8-3.1 GB).
